id;algo;eps;tam;max;count_err;
b;bubble;0.01;10000;898;365;
b;bubble;0.01;10000;574;380;
b;bubble;0.01;10000;516;404;
b;bubble;0.01;10000;351;370;
b;bubble;0.01;10000;589;386;
b;bubble;0.01;10000;627;394;
b;bubble;0.01;10000;718;390;
b;bubble;0.01;10000;438;393;
b;bubble;0.01;10000;535;381;
b;bubble;0.01;10000;407;361;
b;bubble;0.01;10000;363;377;
b;bubble;0.01;10000;611;390;
b;bubble;0.01;10000;373;387;
b;bubble;0.01;10000;469;387;
q;quick;0.01;10000;90;664;
q;quick;0.01;10000;75;639;
q;quick;0.01;10000;110;670;
q;quick;0.01;10000;83;702;
q;quick;0.01;10000;96;642;
q;quick;0.01;10000;94;639;
q;quick;0.01;10000;114;642;
q;quick;0.01;10000;103;629;
q;quick;0.01;10000;80;697;
q;quick;0.01;10000;99;647;
q;quick;0.01;10000;98;649;
q;quick;0.01;10000;74;644;
q;quick;0.01;10000;95;654;
q;quick;0.01;10000;78;652;
q;quick;0.01;10000;91;654;
q;quick;0.01;10000;143;620;
q;quick;0.01;10000;90;667;
q;quick;0.01;10000;100;662;
q;quick;0.01;10000;88;673;
q;quick;0.01;10000;96;660;
q;quick;0.01;10000;95;674;
q;quick;0.01;10000;90;689;
q;quick;0.01;10000;88;642;
q;quick;0.01;10000;107;638;
q;quick;0.01;10000;114;661;
q;quick;0.01;10000;93;634;
q;quick;0.01;10000;100;679;
q;quick;0.01;10000;104;631;
q;quick;0.01;10000;86;633;
q;quick;0.01;10000;127;639;
q;quick;0.01;10000;75;663;
q;quick;0.01;10000;111;676;
q;quick;0.01;10000;80;679;
q;quick;0.01;10000;102;608;
q;quick;0.01;10000;85;666;
q;quick;0.01;10000;102;658;
q;quick;0.01;10000;103;648;
q;quick;0.01;10000;92;632;
q;quick;0.01;10000;89;649;
q;quick;0.01;10000;87;639;
m;merge;0.01;10000;55;1024;
m;merge;0.01;10000;66;1011;
m;merge;0.01;10000;100;1014;
m;merge;0.01;10000;70;1033;
m;merge;0.01;10000;68;1019;
m;merge;0.01;10000;93;975;
m;merge;0.01;10000;61;1030;
m;merge;0.01;10000;87;965;
m;merge;0.01;10000;64;1024;
m;merge;0.01;10000;71;972;
m;merge;0.01;10000;66;944;
m;merge;0.01;10000;70;954;
m;merge;0.01;10000;56;1029;
m;merge;0.01;10000;75;975;
m;merge;0.01;10000;63;955;
m;merge;0.01;10000;60;1000;
m;merge;0.01;10000;59;970;
m;merge;0.01;10000;55;998;
m;merge;0.01;10000;72;1032;
m;merge;0.01;10000;76;981;
m;merge;0.01;10000;71;952;
m;merge;0.01;10000;81;960;
m;merge;0.01;10000;112;978;
m;merge;0.01;10000;68;1033;
m;merge;0.01;10000;77;995;
m;merge;0.01;10000;76;1021;
m;merge;0.01;10000;67;1009;
m;merge;0.01;10000;66;1003;
m;merge;0.01;10000;55;1032;
m;merge;0.01;10000;72;1026;
m;merge;0.01;10000;48;998;
m;merge;0.01;10000;72;995;
m;merge;0.01;10000;62;981;
m;merge;0.01;10000;57;950;
m;merge;0.01;10000;96;928;
m;merge;0.01;10000;68;993;
m;merge;0.01;10000;114;918;
m;merge;0.01;10000;71;980;
m;merge;0.01;10000;66;1001;
m;merge;0.01;10000;67;1032;
i;insertion;0.01;10000;32;1457;
i;insertion;0.01;10000;46;1460;
i;insertion;0.01;10000;39;1446;
i;insertion;0.01;10000;39;1450;
i;insertion;0.01;10000;41;1488;
i;insertion;0.01;10000;34;1458;
i;insertion;0.01;10000;36;1472;
i;insertion;0.01;10000;34;1473;
i;insertion;0.01;10000;35;1474;
i;insertion;0.01;10000;39;1404;
i;insertion;0.01;10000;38;1433;
i;insertion;0.01;10000;35;1448;
i;insertion;0.01;10000;34;1469;
i;insertion;0.01;10000;39;1445;
i;insertion;0.01;10000;37;1429;
i;insertion;0.01;10000;33;1460;
i;insertion;0.01;10000;35;1439;
i;insertion;0.01;10000;37;1473;
i;insertion;0.01;10000;34;1478;
i;insertion;0.01;10000;39;1467;
i;insertion;0.01;10000;42;1456;
i;insertion;0.01;10000;30;1421;
i;insertion;0.01;10000;31;1473;
i;insertion;0.01;10000;35;1471;
i;insertion;0.01;10000;34;1464;
i;insertion;0.01;10000;38;1462;
i;insertion;0.01;10000;35;1434;
i;insertion;0.01;10000;31;1399;
i;insertion;0.01;10000;34;1429;
i;insertion;0.01;10000;34;1498;
i;insertion;0.01;10000;32;1424;
i;insertion;0.01;10000;31;1483;
i;insertion;0.01;10000;31;1452;
i;insertion;0.01;10000;32;1405;
i;insertion;0.01;10000;32;1468;
i;insertion;0.01;10000;44;1494;
i;insertion;0.01;10000;35;1479;
i;insertion;0.01;10000;31;1475;
i;insertion;0.01;10000;35;1447;
i;insertion;0.01;10000;27;1463;
