id;algo;eps;tam;max;count_err;recursive
i;insertion;0.0001;10000;5156;2;FALSE
i;insertion;0.0001;10000;10000;0;FALSE
i;insertion;0.0001;10000;10000;0;FALSE
i;insertion;0.0001;10000;10000;0;FALSE
i;insertion;0.0001;10000;9385;1;FALSE
i;insertion;0.0001;10000;10000;0;FALSE
i;insertion;0.0001;10000;9920;1;FALSE
i;insertion;0.0001;10000;10000;0;FALSE
m;merge;0.0001;10000;5477;5;FALSE
m;merge;0.0001;10000;3541;5;FALSE
m;merge;0.0001;10000;2674;8;FALSE
m;merge;0.0001;10000;3947;6;FALSE
m;merge;0.0001;10000;4543;6;FALSE
m;merge;0.0001;10000;3388;7;FALSE
m;merge;0.0001;10000;8163;4;FALSE
m;merge;0.0001;10000;3970;3;FALSE
m;merge;0.0001;10000;2840;4;FALSE
m;merge;0.0001;10000;2140;9;FALSE
q;quick;0.0001;10000;1473;9;FALSE
q;quick;0.0001;10000;1748;13;FALSE
q;quick;0.0001;10000;1699;17;FALSE
q;quick;0.0001;10000;2077;16;FALSE
q;quick;0.0001;10000;1605;14;FALSE
q;quick;0.0001;10000;1815;9;FALSE
q;quick;0.0001;10000;2601;12;FALSE
q;quick;0.0001;10000;3104;15;FALSE
q;quick;0.0001;10000;3193;17;FALSE
q;quick;0.0001;10000;2154;14;FALSE
b;bubble;0.01;100;54;5;FALSE
b;bubble;0.01;100;57;7;FALSE
b;bubble;0.01;100;66;4;FALSE
b;bubble;0.01;100;54;4;FALSE
b;bubble;0.01;100;57;5;FALSE
b;bubble;0.01;100;46;7;FALSE
b;bubble;0.01;100;75;4;FALSE
b;bubble;0.01;100;59;3;FALSE
b;bubble;0.01;100;53;6;FALSE
b;bubble;0.01;100;48;3;FALSE
i;insertion;0.01;100;21;10;FALSE
i;insertion;0.01;100;17;12;FALSE
i;insertion;0.01;100;26;8;FALSE
i;insertion;0.01;100;22;7;FALSE
i;insertion;0.01;100;19;13;FALSE
i;insertion;0.01;100;22;13;FALSE
i;insertion;0.01;100;21;12;FALSE
i;insertion;0.01;100;14;16;FALSE
i;insertion;0.01;100;21;7;FALSE
i;insertion;0.01;100;19;14;FALSE
m;merge;0.01;100;40;7;FALSE
m;merge;0.01;100;21;9;FALSE
m;merge;0.01;100;31;8;FALSE
m;merge;0.01;100;34;7;FALSE
m;merge;0.01;100;35;7;FALSE
m;merge;0.01;100;34;5;FALSE
m;merge;0.01;100;34;4;FALSE
m;merge;0.01;100;49;2;FALSE
m;merge;0.01;100;39;3;FALSE
m;merge;0.01;100;100;0;FALSE
q;quick;0.01;100;48;5;FALSE
q;quick;0.01;100;39;5;FALSE
q;quick;0.01;100;56;3;FALSE
q;quick;0.01;100;42;5;FALSE
q;quick;0.01;100;65;2;FALSE
q;quick;0.01;100;46;8;FALSE
q;quick;0.01;100;22;8;FALSE
q;quick;0.01;100;22;9;FALSE
q;quick;0.01;100;51;3;FALSE
q;quick;0.01;100;29;5;FALSE
b;bubble;0.01;1000;193;35;FALSE
b;bubble;0.01;1000;316;5;TRUE
b;bubble;0.01;1000;544;1;TRUE
b;bubble;0.01;1000;439;3;TRUE
b;bubble;0.01;1000;343;6;TRUE
b;bubble;0.01;1000;278;6;TRUE
b;bubble;0.01;1000;475;4;TRUE
b;bubble;0.01;1000;447;4;TRUE
b;bubble;0.01;1000;402;3;TRUE
b;bubble;0.01;1000;386;5;TRUE
b;bubble;0.0001;1000;1000;0;FALSE
b;bubble;0.0001;1000;1000;0;TRUE
b;bubble;0.0001;1000;1000;0;TRUE
b;bubble;0.0001;1000;1000;0;TRUE
b;bubble;0.0001;1000;1000;0;TRUE
b;bubble;0.0001;1000;1000;0;TRUE
b;bubble;0.0001;1000;1000;0;TRUE
b;bubble;0.0001;1000;1000;0;TRUE
b;bubble;0.0001;1000;1000;0;TRUE
b;bubble;0.0001;1000;1000;0;TRUE
m;merge;0.0001;1000;1000;0;FALSE
m;merge;0.0001;1000;1000;0;TRUE
m;merge;0.0001;1000;978;1;TRUE
m;merge;0.0001;1000;526;1;TRUE
m;merge;0.0001;1000;780;1;TRUE
m;merge;0.0001;1000;592;2;TRUE
m;merge;0.0001;1000;907;1;TRUE
m;merge;0.0001;1000;1000;0;TRUE
m;merge;0.0001;1000;1000;0;TRUE
m;merge;0.0001;1000;1000;0;TRUE
m;merge;0.01;1000;77;72;FALSE
m;merge;0.01;1000;87;42;TRUE
m;merge;0.01;1000;136;46;TRUE
m;merge;0.01;1000;94;54;TRUE
m;merge;0.01;1000;65;53;TRUE
m;merge;0.01;1000;94;47;TRUE
m;merge;0.01;1000;98;42;TRUE
m;merge;0.01;1000;92;55;TRUE
m;merge;0.01;1000;79;60;TRUE
m;merge;0.01;1000;74;54;TRUE
q;quick;0.0001;1000;793;1;FALSE
q;quick;0.0001;1000;1000;0;TRUE
q;quick;0.0001;1000;589;1;TRUE
q;quick;0.0001;1000;668;2;TRUE
q;quick;0.0001;1000;722;1;TRUE
q;quick;0.0001;1000;1000;0;TRUE
q;quick;0.0001;1000;618;3;TRUE
q;quick;0.0001;1000;532;2;TRUE
q;quick;0.0001;1000;526;1;TRUE
q;quick;0.0001;1000;668;2;TRUE
q;quick;0.01;1000;89;68;FALSE
q;quick;0.01;1000;49;67;TRUE
q;quick;0.01;1000;61;53;TRUE
q;quick;0.01;1000;57;68;TRUE
q;quick;0.01;1000;44;66;TRUE
q;quick;0.01;1000;57;67;TRUE
q;quick;0.01;1000;76;62;TRUE
q;quick;0.01;1000;61;60;TRUE
q;quick;0.01;1000;70;63;TRUE
q;quick;0.01;1000;69;74;TRUE
i;insertion;0.0001;1000;140;16;FALSE
i;insertion;0.0001;1000;167;14;TRUE
i;insertion;0.0001;1000;228;5;TRUE
i;insertion;0.0001;1000;286;4;TRUE
i;insertion;0.0001;1000;583;1;TRUE
i;insertion;0.0001;1000;503;2;TRUE
i;insertion;0.0001;1000;1000;0;TRUE
i;insertion;0.0001;1000;1000;0;TRUE
i;insertion;0.0001;1000;1000;0;TRUE
i;insertion;0.0001;1000;1000;0;TRUE
i;insertion;0.01;1000;24;141;FALSE
i;insertion;0.01;1000;28;108;TRUE
i;insertion;0.01;1000;45;94;TRUE
i;insertion;0.01;1000;42;99;TRUE
i;insertion;0.01;1000;44;95;TRUE
i;insertion;0.01;1000;55;83;TRUE
i;insertion;0.01;1000;62;86;TRUE
i;insertion;0.01;1000;53;82;TRUE
i;insertion;0.01;1000;65;72;TRUE
i;insertion;0.01;1000;54;68;TRUE
i;insertion;0.001;100;52;3;FALSE
i;insertion;0.001;100;100;0;TRUE
i;insertion;0.001;100;100;0;TRUE
i;insertion;0.001;100;100;0;TRUE
i;insertion;0.001;100;100;0;TRUE
i;insertion;0.001;100;100;0;TRUE
i;insertion;0.001;100;100;0;TRUE
i;insertion;0.001;100;100;0;TRUE
i;insertion;0.001;100;100;0;TRUE
i;insertion;0.001;100;93;1;TRUE
i;insertion;0.0001;100;71;1;FALSE
i;insertion;0.0001;100;100;0;TRUE
i;insertion;0.0001;100;100;0;TRUE
i;insertion;0.0001;100;100;0;TRUE
i;insertion;0.0001;100;100;0;TRUE
i;insertion;0.0001;100;100;0;TRUE
i;insertion;0.0001;100;100;0;TRUE
i;insertion;0.0001;100;100;0;TRUE
i;insertion;0.0001;100;100;0;TRUE
i;insertion;0.0001;100;100;0;TRUE
m;merge;0.001;100;100;0;FALSE
m;merge;0.001;100;100;0;TRUE
m;merge;0.001;100;100;0;TRUE
m;merge;0.001;100;100;0;TRUE
m;merge;0.001;100;41;3;TRUE
m;merge;0.001;100;100;0;TRUE
m;merge;0.001;100;100;0;TRUE
m;merge;0.001;100;100;0;TRUE
m;merge;0.001;100;100;0;TRUE
m;merge;0.001;100;96;1;TRUE
m;merge;0.0001;100;100;0;FALSE
m;merge;0.0001;100;100;0;TRUE
m;merge;0.0001;100;100;0;TRUE
m;merge;0.0001;100;100;0;TRUE
m;merge;0.0001;100;100;0;TRUE
m;merge;0.0001;100;100;0;TRUE
m;merge;0.0001;100;100;0;TRUE
m;merge;0.0001;100;100;0;TRUE
m;merge;0.0001;100;100;0;TRUE
m;merge;0.0001;100;100;0;TRUE
b;bubble;0.001;100;79;2;FALSE
b;bubble;0.001;100;100;0;TRUE
b;bubble;0.001;100;100;0;TRUE
b;bubble;0.001;100;100;0;TRUE
b;bubble;0.001;100;100;0;TRUE
b;bubble;0.001;100;100;0;TRUE
b;bubble;0.001;100;100;0;TRUE
b;bubble;0.001;100;100;0;TRUE
b;bubble;0.001;100;100;0;TRUE
b;bubble;0.001;100;100;0;TRUE
b;bubble;0.0001;100;96;1;FALSE
b;bubble;0.0001;100;100;0;TRUE
b;bubble;0.0001;100;100;0;TRUE
b;bubble;0.0001;100;100;0;TRUE
b;bubble;0.0001;100;100;0;TRUE
b;bubble;0.0001;100;100;0;TRUE
b;bubble;0.0001;100;100;0;TRUE
b;bubble;0.0001;100;100;0;TRUE
b;bubble;0.0001;100;100;0;TRUE
b;bubble;0.0001;100;100;0;TRUE
q;quick;0.001;100;64;1;FALSE
q;quick;0.001;100;88;1;TRUE
q;quick;0.001;100;65;1;TRUE
q;quick;0.001;100;100;0;TRUE
q;quick;0.001;100;100;0;TRUE
q;quick;0.001;100;100;0;TRUE
q;quick;0.001;100;100;0;TRUE
q;quick;0.001;100;100;0;TRUE
q;quick;0.001;100;67;1;TRUE
q;quick;0.001;100;58;2;TRUE
q;quick;0.0001;100;100;0;FALSE
q;quick;0.0001;100;65;1;TRUE
q;quick;0.0001;100;100;0;TRUE
q;quick;0.0001;100;100;0;TRUE
q;quick;0.0001;100;100;0;TRUE
q;quick;0.0001;100;100;0;TRUE
q;quick;0.0001;100;100;0;TRUE
q;quick;0.0001;100;100;0;TRUE
q;quick;0.0001;100;100;0;TRUE
q;quick;0.0001;100;100;0;TRUE
b;bubble;0.01;1000;411;26;FALSE
b;bubble;0.01;1000;594;26;FALSE
b;bubble;0.01;1000;189;36;FALSE
b;bubble;0.01;1000;353;30;FALSE
b;bubble;0.01;1000;539;28;FALSE
b;bubble;0.01;1000;191;31;FALSE
b;bubble;0.01;1000;313;36;FALSE
b;bubble;0.01;1000;527;29;FALSE
b;bubble;0.01;1000;228;30;FALSE
b;bubble;0.01;1000;630;22;FALSE
b;bubble;0.001;1000;561;4;FALSE
b;bubble;0.001;1000;762;3;FALSE
b;bubble;0.001;1000;604;7;FALSE
b;bubble;0.001;1000;586;2;FALSE
b;bubble;0.001;1000;619;2;FALSE
b;bubble;0.001;1000;992;1;FALSE
b;bubble;0.001;1000;677;4;FALSE
b;bubble;0.001;1000;612;3;FALSE
b;bubble;0.001;1000;1000;0;FALSE
b;bubble;0.001;1000;883;2;FALSE
b;bubble;0.0001;1000;1000;0;FALSE
b;bubble;0.0001;1000;1000;0;FALSE
b;bubble;0.0001;1000;1000;0;FALSE
b;bubble;0.0001;1000;1000;0;FALSE
b;bubble;0.0001;1000;1000;0;FALSE
b;bubble;0.0001;1000;1000;0;FALSE
b;bubble;0.0001;1000;1000;0;FALSE
b;bubble;0.0001;1000;1000;0;FALSE
b;bubble;0.0001;1000;1000;0;FALSE
b;bubble;0.0001;1000;1000;0;FALSE
i;insertion;0.0001;1000;239;19;FALSE
i;insertion;0.0001;1000;194;12;FALSE
i;insertion;0.0001;1000;114;18;FALSE
i;insertion;0.0001;1000;199;15;FALSE
i;insertion;0.0001;1000;162;10;FALSE
i;insertion;0.0001;1000;189;16;FALSE
i;insertion;0.0001;1000;260;14;FALSE
i;insertion;0.0001;1000;189;16;FALSE
i;insertion;0.0001;1000;140;20;FALSE
i;insertion;0.0001;1000;178;17;FALSE
i;insertion;0.001;1000;70;57;FALSE
i;insertion;0.001;1000;94;46;FALSE
i;insertion;0.001;1000;70;51;FALSE
i;insertion;0.001;1000;65;44;FALSE
i;insertion;0.001;1000;75;41;FALSE
i;insertion;0.001;1000;61;58;FALSE
i;insertion;0.001;1000;73;49;FALSE
i;insertion;0.001;1000;72;37;FALSE
i;insertion;0.001;1000;55;55;FALSE
i;insertion;0.001;1000;54;47;FALSE
i;insertion;0.01;1000;24;149;FALSE
i;insertion;0.01;1000;29;134;FALSE
i;insertion;0.01;1000;42;144;FALSE
i;insertion;0.01;1000;25;143;FALSE
i;insertion;0.01;1000;27;156;FALSE
i;insertion;0.01;1000;29;139;FALSE
i;insertion;0.01;1000;30;140;FALSE
i;insertion;0.01;1000;29;151;FALSE
i;insertion;0.01;1000;35;137;FALSE
i;insertion;0.01;1000;22;147;FALSE
m;merge;0.0001;1000;690;2;FALSE
m;merge;0.0001;1000;1000;0;FALSE
m;merge;0.0001;1000;850;1;FALSE
m;merge;0.0001;1000;1000;0;FALSE
m;merge;0.0001;1000;550;2;FALSE
m;merge;0.0001;1000;773;1;FALSE
m;merge;0.0001;1000;812;1;FALSE
m;merge;0.0001;1000;1000;0;FALSE
m;merge;0.0001;1000;1000;0;FALSE
m;merge;0.0001;1000;638;2;FALSE
m;merge;0.001;1000;535;5;FALSE
m;merge;0.001;1000;412;7;FALSE
m;merge;0.001;1000;347;3;FALSE
m;merge;0.001;1000;260;7;FALSE
m;merge;0.001;1000;205;9;FALSE
m;merge;0.001;1000;399;7;FALSE
m;merge;0.001;1000;659;4;FALSE
m;merge;0.001;1000;327;6;FALSE
m;merge;0.001;1000;264;9;FALSE
m;merge;0.001;1000;484;3;FALSE
m;merge;0.01;1000;66;79;FALSE
m;merge;0.01;1000;100;62;FALSE
m;merge;0.01;1000;47;78;FALSE
m;merge;0.01;1000;71;63;FALSE
m;merge;0.01;1000;107;74;FALSE
m;merge;0.01;1000;61;73;FALSE
m;merge;0.01;1000;66;69;FALSE
m;merge;0.01;1000;59;66;FALSE
m;merge;0.01;1000;45;68;FALSE
m;merge;0.01;1000;53;75;FALSE
q;quick;0.0001;1000;515;2;FALSE
q;quick;0.0001;1000;483;2;FALSE
q;quick;0.0001;1000;607;2;FALSE
q;quick;0.0001;1000;1000;0;FALSE
q;quick;0.0001;1000;512;3;FALSE
q;quick;0.0001;1000;1000;0;FALSE
q;quick;0.0001;1000;685;3;FALSE
q;quick;0.0001;1000;489;2;FALSE
q;quick;0.0001;1000;372;2;FALSE
q;quick;0.0001;1000;1000;0;FALSE
q;quick;0.001;1000;342;8;FALSE
q;quick;0.001;1000;225;7;FALSE
q;quick;0.001;1000;463;4;FALSE
q;quick;0.001;1000;448;8;FALSE
q;quick;0.001;1000;185;14;FALSE
q;quick;0.001;1000;232;11;FALSE
q;quick;0.001;1000;236;8;FALSE
q;quick;0.001;1000;294;9;FALSE
q;quick;0.001;1000;371;7;FALSE
q;quick;0.001;1000;195;13;FALSE
q;quick;0.01;1000;85;61;FALSE
q;quick;0.01;1000;72;62;FALSE
q;quick;0.01;1000;89;59;FALSE
q;quick;0.01;1000;61;79;FALSE
q;quick;0.01;1000;58;78;FALSE
q;quick;0.01;1000;72;57;FALSE
q;quick;0.01;1000;47;67;FALSE
q;quick;0.01;1000;48;61;FALSE
q;quick;0.01;1000;77;63;FALSE
q;quick;0.01;1000;74;41;FALSE
b;bubble;0.01;100;66;4;FALSE
b;bubble;0.01;100;50;4;FALSE
b;bubble;0.01;100;52;6;FALSE
b;bubble;0.01;100;40;5;FALSE
b;bubble;0.01;100;29;5;FALSE
b;bubble;0.01;100;49;4;FALSE
b;bubble;0.01;100;68;5;FALSE
b;bubble;0.01;100;65;5;FALSE
b;bubble;0.01;100;63;7;FALSE
b;bubble;0.01;100;52;6;FALSE
i;insertion;0.01;100;21;13;FALSE
i;insertion;0.01;100;26;11;FALSE
i;insertion;0.01;100;15;9;FALSE
i;insertion;0.01;100;19;8;FALSE
i;insertion;0.01;100;16;10;FALSE
i;insertion;0.01;100;17;13;FALSE
i;insertion;0.01;100;28;8;FALSE
i;insertion;0.01;100;27;11;FALSE
i;insertion;0.01;100;17;14;FALSE
i;insertion;0.01;100;16;13;FALSE
m;merge;0.01;100;26;4;FALSE
m;merge;0.01;100;45;2;FALSE
m;merge;0.01;100;44;3;FALSE
m;merge;0.01;100;58;2;FALSE
m;merge;0.01;100;66;1;FALSE
m;merge;0.01;100;48;4;FALSE
m;merge;0.01;100;32;4;FALSE
m;merge;0.01;100;100;0;FALSE
m;merge;0.01;100;47;4;FALSE
m;merge;0.01;100;61;4;FALSE
q;quick;0.01;100;63;1;FALSE
q;quick;0.01;100;44;5;FALSE
q;quick;0.01;100;28;5;FALSE
q;quick;0.01;100;38;7;FALSE
q;quick;0.01;100;54;3;FALSE
q;quick;0.01;100;39;5;FALSE
q;quick;0.01;100;34;6;FALSE
q;quick;0.01;100;29;7;FALSE
q;quick;0.01;100;32;5;FALSE
q;quick;0.01;100;45;4;FALSE
b;bubble;0.001;100;72;2;FALSE
b;bubble;0.001;100;100;0;FALSE
b;bubble;0.001;100;87;1;FALSE
b;bubble;0.001;100;100;0;FALSE
b;bubble;0.001;100;100;0;FALSE
b;bubble;0.001;100;99;1;FALSE
b;bubble;0.001;100;88;1;FALSE
b;bubble;0.001;100;100;0;FALSE
b;bubble;0.001;100;66;1;FALSE
b;bubble;0.001;100;39;3;FALSE
i;insertion;0.001;100;65;2;FALSE
i;insertion;0.001;100;38;3;FALSE
i;insertion;0.001;100;63;2;FALSE
i;insertion;0.001;100;44;3;FALSE
i;insertion;0.001;100;51;2;FALSE
i;insertion;0.001;100;73;1;FALSE
i;insertion;0.001;100;62;4;FALSE
i;insertion;0.001;100;61;2;FALSE
i;insertion;0.001;100;60;2;FALSE
i;insertion;0.001;100;53;2;FALSE
m;merge;0.001;100;100;0;FALSE
m;merge;0.001;100;100;0;FALSE
m;merge;0.001;100;81;1;FALSE
m;merge;0.001;100;61;1;FALSE
m;merge;0.001;100;100;0;FALSE
m;merge;0.001;100;100;0;FALSE
m;merge;0.001;100;100;0;FALSE
m;merge;0.001;100;100;0;FALSE
m;merge;0.001;100;100;0;FALSE
m;merge;0.001;100;100;0;FALSE
q;quick;0.001;100;78;1;FALSE
q;quick;0.001;100;46;2;FALSE
q;quick;0.001;100;88;1;FALSE
q;quick;0.001;100;41;2;FALSE
q;quick;0.001;100;79;1;FALSE
q;quick;0.001;100;100;0;FALSE
q;quick;0.001;100;100;0;FALSE
q;quick;0.001;100;70;1;FALSE
q;quick;0.001;100;100;0;FALSE
q;quick;0.001;100;100;0;FALSE
b;bubble;0.0001;100;100;0;FALSE
b;bubble;0.0001;100;100;0;FALSE
b;bubble;0.0001;100;100;0;FALSE
b;bubble;0.0001;100;100;0;FALSE
b;bubble;0.0001;100;100;0;FALSE
b;bubble;0.0001;100;100;0;FALSE
b;bubble;0.0001;100;100;0;FALSE
b;bubble;0.0001;100;100;0;FALSE
b;bubble;0.0001;100;100;0;FALSE
b;bubble;0.0001;100;100;0;FALSE
i;insertion;0.0001;100;100;0;FALSE
i;insertion;0.0001;100;100;0;FALSE
i;insertion;0.0001;100;87;1;FALSE
i;insertion;0.0001;100;100;0;FALSE
i;insertion;0.0001;100;100;0;FALSE
i;insertion;0.0001;100;100;0;FALSE
i;insertion;0.0001;100;91;1;FALSE
i;insertion;0.0001;100;100;0;FALSE
i;insertion;0.0001;100;100;0;FALSE
i;insertion;0.0001;100;100;0;FALSE
m;merge;0.0001;100;100;0;FALSE
m;merge;0.0001;100;100;0;FALSE
m;merge;0.0001;100;58;1;FALSE
m;merge;0.0001;100;100;0;FALSE
m;merge;0.0001;100;100;0;FALSE
m;merge;0.0001;100;100;0;FALSE
m;merge;0.0001;100;100;0;FALSE
m;merge;0.0001;100;100;0;FALSE
m;merge;0.0001;100;100;0;FALSE
m;merge;0.0001;100;100;0;FALSE
q;quick;0.0001;100;100;0;FALSE
q;quick;0.0001;100;100;0;FALSE
q;quick;0.0001;100;100;0;FALSE
q;quick;0.0001;100;100;0;FALSE
q;quick;0.0001;100;100;0;FALSE
q;quick;0.0001;100;100;0;FALSE
q;quick;0.0001;100;100;0;FALSE
q;quick;0.0001;100;100;0;FALSE
q;quick;0.0001;100;100;0;FALSE
q;quick;0.0001;100;73;1;FALSE
i;insertion;0.0001;10000;6741;1;FALSE
i;insertion;0.0001;10000;10000;0;FALSE
i;insertion;0.0001;10000;10000;0;FALSE
i;insertion;0.0001;10000;9155;1;FALSE
i;insertion;0.0001;10000;5785;1;FALSE
i;insertion;0.0001;10000;6054;1;FALSE
i;insertion;0.0001;10000;6773;1;FALSE
i;insertion;0.0001;10000;6129;2;FALSE
i;insertion;0.0001;10000;6791;1;FALSE
i;insertion;0.0001;10000;5868;1;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
m;merge;0.0001;10000;5244;7;FALSE
m;merge;0.0001;10000;2885;9;FALSE
m;merge;0.0001;10000;4730;5;FALSE
m;merge;0.0001;10000;3242;3;FALSE
m;merge;0.0001;10000;2478;7;FALSE
m;merge;0.0001;10000;2752;11;FALSE
m;merge;0.0001;10000;2679;8;FALSE
m;merge;0.0001;10000;2609;9;FALSE
m;merge;0.0001;10000;5550;7;FALSE
m;merge;0.0001;10000;3617;6;FALSE
q;quick;0.0001;10000;1403;13;FALSE
q;quick;0.0001;10000;1783;18;FALSE
q;quick;0.0001;10000;2609;22;FALSE
q;quick;0.0001;10000;1513;17;FALSE
q;quick;0.0001;10000;1602;17;FALSE
q;quick;0.0001;10000;2161;10;FALSE
q;quick;0.0001;10000;2883;11;FALSE
q;quick;0.0001;10000;2050;15;FALSE
q;quick;0.0001;10000;1862;13;FALSE
q;quick;0.0001;10000;1901;19;FALSE
i;insertion;0.001;10000;7753;1;FALSE
i;insertion;0.001;10000;3333;6;FALSE
i;insertion;0.001;10000;6203;3;FALSE
i;insertion;0.001;10000;5102;3;FALSE
i;insertion;0.001;10000;2792;7;FALSE
i;insertion;0.001;10000;3510;6;FALSE
i;insertion;0.001;10000;3309;8;FALSE
i;insertion;0.001;10000;5270;3;FALSE
i;insertion;0.001;10000;6363;2;FALSE
i;insertion;0.001;10000;8573;3;FALSE
b;bubble;0.001;10000;10000;0;FALSE
b;bubble;0.001;10000;6621;4;FALSE
b;bubble;0.001;10000;7226;1;FALSE
b;bubble;0.001;10000;5425;5;FALSE
b;bubble;0.001;10000;6453;5;FALSE
b;bubble;0.001;10000;5149;3;FALSE
b;bubble;0.001;10000;7578;3;FALSE
b;bubble;0.001;10000;5984;2;FALSE
b;bubble;0.001;10000;6175;3;FALSE
b;bubble;0.001;10000;5205;5;FALSE
m;merge;0.001;10000;713;59;FALSE
m;merge;0.001;10000;1223;53;FALSE
m;merge;0.001;10000;1304;51;FALSE
m;merge;0.001;10000;765;67;FALSE
m;merge;0.001;10000;831;52;FALSE
m;merge;0.001;10000;762;65;FALSE
m;merge;0.001;10000;801;47;FALSE
m;merge;0.001;10000;857;58;FALSE
m;merge;0.001;10000;832;61;FALSE
m;merge;0.001;10000;608;57;FALSE
q;quick;0.001;10000;351;104;FALSE
q;quick;0.001;10000;365;129;FALSE
q;quick;0.001;10000;362;125;FALSE
q;quick;0.001;10000;330;109;FALSE
q;quick;0.001;10000;464;132;FALSE
q;quick;0.001;10000;493;89;FALSE
q;quick;0.001;10000;548;115;FALSE
q;quick;0.001;10000;481;117;FALSE
q;quick;0.001;10000;661;109;FALSE
q;quick;0.001;10000;400;102;FALSE
i;insertion;0.01;10000;703;43;FALSE
i;insertion;0.01;10000;873;33;FALSE
i;insertion;0.01;10000;810;47;FALSE
i;insertion;0.01;10000;1191;39;FALSE
i;insertion;0.01;10000;1217;35;FALSE
i;insertion;0.01;10000;551;57;FALSE
i;insertion;0.01;10000;843;41;FALSE
i;insertion;0.01;10000;698;34;FALSE
i;insertion;0.01;10000;1181;37;FALSE
i;insertion;0.01;10000;915;43;FALSE
b;bubble;0.01;10000;1436;37;FALSE
b;bubble;0.01;10000;1197;38;FALSE
b;bubble;0.01;10000;1829;34;FALSE
b;bubble;0.01;10000;1544;40;FALSE
b;bubble;0.01;10000;673;57;FALSE
b;bubble;0.01;10000;546;46;FALSE
b;bubble;0.01;10000;619;51;FALSE
b;bubble;0.01;10000;1155;35;FALSE
b;bubble;0.01;10000;859;41;FALSE
b;bubble;0.01;10000;1014;35;FALSE
m;merge;0.01;10000;110;516;FALSE
m;merge;0.01;10000;119;540;FALSE
m;merge;0.01;10000;116;544;FALSE
m;merge;0.01;10000;141;528;FALSE
m;merge;0.01;10000;162;540;FALSE
m;merge;0.01;10000;129;555;FALSE
m;merge;0.01;10000;200;519;FALSE
m;merge;0.01;10000;129;504;FALSE
m;merge;0.01;10000;136;551;FALSE
m;merge;0.01;10000;145;498;FALSE
q;quick;0.01;10000;87;674;FALSE
q;quick;0.01;10000;91;649;FALSE
q;quick;0.01;10000;88;658;FALSE
q;quick;0.01;10000;74;662;FALSE
q;quick;0.01;10000;79;648;FALSE
q;quick;0.01;10000;98;662;FALSE
q;quick;0.01;10000;93;647;FALSE
q;quick;0.01;10000;92;700;FALSE
q;quick;0.01;10000;76;686;FALSE
q;quick;0.01;10000;98;650;FALSE
